316770,316710,dd.mm.yyyy,2,sut,nar,S
316770,316711,dd.mm.yyyy,2,sut,nar,S
316770,316713,dd.mm.yyyy,5,sut,nar,S
316770,000388,dd.mm.yyyy,90,sut,nar,P
316770,000440,dd.mm.yyyy,90,sut,nar,P
316770,000485,dd.mm.yyyy,90,sut,nar,P
316770,000500,dd.mm.yyyy,90,sut,nar,P
316770,316770,dd.mm.yyyy,92,sut,nar,V
316770,316711,dd.mm.yyyy,99,sut,nar,S
316770,316710,dd.mm.yyyy,99,sut,nar,S
316770,316713,dd.mm.yyyy,599,sut,nar,S
316770,300204,dd.mm.yyyy,612,sut,nar,P
316770,300207,dd.mm.yyyy,612,sut,nar,P
316770,300386,dd.mm.yyyy,612,sut,nar,P
316770,300387,dd.mm.yyyy,612,sut,nar,P
316770,300388,dd.mm.yyyy,612,sut,nar,P
316770,602911,dd.mm.yyyy,612,sut,nar,P

