01.04.2010, ППБР
Часы,Потребление,Сумма ТЭС,СНТЭЦ2,АлТЭЦ-3,РомТЭЦ-4,Сальдо,Терр.,
1,356.1,210,210,0,0,146,356,
2,357,210,210,0,0,147,357,
3,342,210,210,0,0,132,342,
4,343,210,210,0,0,133,343,
5,349,210,210,0,0,139,349,
6,365,210,210,0,0,155,365,
7,403,210,210,0,0,193,403,
8,458,257,257,0,0,201,458,
9,477,257,257,0,0,220,477,
10,483,257,257,0,0,226,483,
11,475,257,257,0,0,218,475,
12,461,257,257,0,0,204,461,
13,448,257,257,0,0,191,448,
14,448,257,257,0,0,191,448,
15,441,257,257,0,0,184,441,
16,445,257,257,0,0,188,445,
17,457,257,257,0,0,200,457,
18,485,257,257,0,0,228,485,
19,482,257,257,0,0,225,482,
20,472,257,257,0,0,215,472,
21,460,257,257,0,0,203,460,
22,449.2,257,257,0,0,192,449,
23,412.3,210,210,0,0,202,412,
24,376,210,210,0,0,166,376,
Сумма,10244.6,5745,5745,0,0,4499,10244,

